Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6508","Food Retail","2021","2021","TJ","12594.36453","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6508","Food Retail","2022","2022","TJ","11543.49372","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6508","Food Retail","2023","2023","TJ","11713.03122","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6505","Food Household Consumption","2013","2013","TJ","67488.9","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6505","Food Household Consumption","2014","2014","TJ","50431.9","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6505","Food Household Consumption","2015","2015","TJ","54304.8","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6505","Food Household Consumption","2016","2016","TJ","58756.6","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6505","Food Household Consumption","2017","2017","TJ","57084.0273","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6505","Food Household Consumption","2018","2018","TJ","54133.1395","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6505","Food Household Consumption","2019","2019","TJ","53082.4245","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6505","Food Household Consumption","2020","2020","TJ","51887.1806","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6505","Food Household Consumption","2021","2021","TJ","54371.9862","E","Estimated value"
